epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.168,3.41444,11.831,2.90374,0.00068,0.20408,0.00045,7e-05,2.0833,24.8631,2.04129,0.0002,0.0002,0.0002
2,31.7039,1.75844,3.61039,1.48289,0.78621,0.81633,0.87275,0.414,1.47717,9.12707,1.29197,0.00040614,0.00040614,0.00040614
3,47.1958,1.44484,1.50625,1.23595,0.72417,0.91095,0.80914,0.46364,1.21883,2.22306,1.16839,0.00059776,0.00059776,0.00059776
4,61.8667,1.30653,1.23675,1.12553,0.9321,0.71429,0.76451,0.4583,1.38803,1.92674,1.141,0.00077486,0.00077486,0.00077486
5,73.5041,1.27314,1.0778,1.11402,0.90083,0.74166,0.90648,0.53887,1.40803,4.53119,1.23943,0.00093744,0.00093744,0.00093744
6,85.4003,1.22665,0.99229,1.1039,0.81093,0.83673,0.92143,0.54722,1.41043,1.3698,1.22506,0.0010855,0.0010855,0.0010855
7,96.5914,1.18661,0.96351,1.08055,0.95883,0.93878,0.99036,0.64842,1.16574,1.49863,1.11182,0.00121904,0.00121904,0.00121904
8,108.221,1.16932,0.89839,1.0695,0.99236,1.0,0.995,0.69032,1.06482,0.82877,1.04903,0.00133806,0.00133806,0.00133806
9,120.58,1.14674,0.7917,1.04636,0.94329,0.91837,0.98752,0.68081,1.01419,1.41668,0.99752,0.00144256,0.00144256,0.00144256
10,132.452,1.16423,0.82813,1.05604,0.81386,0.87755,0.92218,0.60779,1.06312,1.57138,1.05483,0.001406,0.001406,0.001406
11,143.086,1.14247,0.80505,1.05109,0.73805,0.38776,0.47588,0.34787,1.35092,3.38487,1.21881,0.00134,0.00134,0.00134
12,153.713,1.04312,0.72755,1.01379,0.87249,0.83789,0.86713,0.63913,1.0527,1.27731,1.01716,0.001274,0.001274,0.001274
13,164.158,1.01801,0.67985,1.00293,0.8487,0.83673,0.88443,0.65487,1.05627,1.15216,0.99032,0.001208,0.001208,0.001208
14,176.968,1.03162,0.65394,1.00353,0.92441,0.99835,0.98445,0.73591,0.94754,0.96129,0.93029,0.001142,0.001142,0.001142
15,189.453,1.03272,0.65144,0.9863,1.0,0.97017,0.99315,0.75638,0.90453,0.92022,0.92106,0.001076,0.001076,0.001076
16,200.82,0.96501,0.62553,0.97323,0.98891,1.0,0.995,0.73138,0.90839,0.6595,0.93411,0.00101,0.00101,0.00101
17,211.495,0.94064,0.62002,0.97474,0.99187,1.0,0.995,0.73173,0.91395,0.62739,0.93,0.000944,0.000944,0.000944
18,222.18,0.93302,0.56553,0.97751,0.99802,1.0,0.995,0.75662,0.85398,0.52358,0.89357,0.000878,0.000878,0.000878
19,234.974,0.92635,0.57122,0.97152,0.99523,1.0,0.995,0.77053,0.90374,0.48712,0.89808,0.000812,0.000812,0.000812
20,245.98,0.92431,0.55799,0.95282,0.99543,1.0,0.995,0.7955,0.82855,0.47118,0.87761,0.000746,0.000746,0.000746
21,281.834,0.87524,0.52693,0.93513,0.99941,1.0,0.995,0.79338,0.82346,0.45713,0.88484,0.00068,0.00068,0.00068
22,292.257,0.8833,0.50527,0.94037,0.99626,1.0,0.995,0.78265,0.85344,0.45346,0.89137,0.000614,0.000614,0.000614
23,302.612,0.84722,0.47996,0.92227,0.99312,1.0,0.995,0.76326,0.8599,0.464,0.89817,0.000548,0.000548,0.000548
24,312.937,0.82435,0.47506,0.91206,0.98502,1.0,0.995,0.76966,0.78541,0.43212,0.89109,0.000482,0.000482,0.000482
25,323.351,0.84429,0.46813,0.94058,0.99736,1.0,0.995,0.78278,0.76611,0.40765,0.87774,0.000416,0.000416,0.000416
26,333.853,0.79202,0.45516,0.88742,0.99751,1.0,0.995,0.78971,0.76375,0.41303,0.87375,0.00035,0.00035,0.00035
27,345.615,0.77489,0.44796,0.90349,0.9978,1.0,0.995,0.79708,0.74321,0.4183,0.8686,0.000284,0.000284,0.000284
28,357.011,0.74464,0.43016,0.88303,0.99784,1.0,0.995,0.82383,0.72209,0.41387,0.8639,0.000218,0.000218,0.000218
29,367.837,0.72153,0.42154,0.8823,0.99781,1.0,0.995,0.83321,0.7099,0.4094,0.86009,0.000152,0.000152,0.000152
30,378.465,0.71509,0.4147,0.876,0.9979,1.0,0.995,0.8317,0.70358,0.39219,0.85804,8.6e-05,8.6e-05,8.6e-05
