epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.4918,3.52381,9.53384,16.0694,2.84014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.36932,4.44081,103.313,2.36347,0.0002,0.0002,0.0002
2,31.6881,1.91771,2.81916,5.36344,1.53973,0.03027,0.7551,0.02715,0.01111,0.02498,0.61224,0.01861,0.00417,1.95511,2.24494,43.9992,1.49181,0.00040614,0.00040614,0.00040614
3,46.7077,1.49843,1.79237,2.04048,1.14062,0.48417,1.0,0.93897,0.57373,0.33751,0.67347,0.56818,0.17718,1.34256,2.50567,17.6455,1.12219,0.00059776,0.00059776,0.00059776
4,61.9059,1.43423,1.71348,1.49364,1.1558,0.45632,0.89796,0.65134,0.26883,0.36298,0.71429,0.45447,0.10223,1.51876,2.09754,12.0556,1.35729,0.00077486,0.00077486,0.00077486
5,76.5801,1.37642,1.626,1.21538,1.11769,0.55803,0.41237,0.40331,0.21485,0.36644,0.26531,0.16508,0.03019,2.04482,2.26493,2.76023,1.82588,0.00093744,0.00093744,0.00093744
6,90.9065,1.29748,1.58421,1.27735,1.05567,0.91923,0.89796,0.97276,0.58886,0.5839,0.57143,0.48146,0.11375,1.3706,2.22158,1.98407,1.13032,0.0010855,0.0010855,0.0010855
7,105.396,1.30887,1.62026,1.09669,1.06552,0.88153,0.89796,0.95296,0.52004,0.74618,0.81633,0.79005,0.21255,1.45621,2.10173,1.57752,1.19229,0.00121904,0.00121904,0.00121904
8,120.78,1.26937,1.50438,1.01985,1.07565,0.77546,0.84586,0.8933,0.49841,0.74033,0.81633,0.84597,0.20625,1.37247,1.54041,4.32978,1.12391,0.00133806,0.00133806,0.00133806
9,135.339,1.26396,1.47454,1.00844,1.07329,0.93978,0.81633,0.93058,0.50647,0.83455,0.73469,0.82165,0.28525,1.47293,1.3498,2.22331,1.26263,0.00144256,0.00144256,0.00144256
10,151.675,1.21619,1.42319,0.93679,1.06038,0.8217,0.93878,0.95894,0.58244,0.8217,0.93878,0.95894,0.3494,1.15556,1.39274,8.78992,1.06993,0.001406,0.001406,0.001406
11,166.602,1.16421,1.3877,0.85134,1.02989,0.94876,0.95918,0.99156,0.63238,0.88119,0.89796,0.90358,0.30121,1.14971,1.37116,2.79137,1.05599,0.00134,0.00134,0.00134
12,181.047,1.09683,1.42983,0.77976,0.97884,0.96772,0.7551,0.90705,0.56989,0.92002,0.70441,0.82281,0.29024,1.15805,1.29563,1.94622,1.02456,0.001274,0.001274,0.001274
13,195.93,1.11798,1.4192,0.80899,0.99083,0.90728,0.99855,0.98236,0.62452,0.79532,0.79304,0.76724,0.2875,1.06623,1.46271,1.74752,0.9899,0.001208,0.001208,0.001208
14,210.007,1.10652,1.29129,0.75004,0.98565,0.96957,0.97959,0.99422,0.63228,0.86694,0.87755,0.85546,0.37852,1.13889,1.2962,1.17376,1.03685,0.001142,0.001142,0.001142
15,224.901,1.13492,1.39397,0.73212,0.99304,0.99873,1.0,0.995,0.67595,0.99873,1.0,0.995,0.3158,1.04739,1.38646,0.90399,0.99185,0.001076,0.001076,0.001076
16,239.063,1.07177,1.32899,0.71469,0.97984,0.9767,1.0,0.9946,0.6783,0.95663,0.97959,0.96711,0.36443,1.01485,1.22886,0.62973,0.96735,0.00101,0.00101,0.00101
17,254.254,1.04444,1.33629,0.71278,0.97027,0.95703,1.0,0.9946,0.69928,0.9375,0.97959,0.96748,0.39452,1.01782,1.19287,0.63196,0.96433,0.000944,0.000944,0.000944
18,269.103,1.00751,1.31204,0.66393,0.96034,0.99362,1.0,0.995,0.70956,0.97334,0.97959,0.96529,0.43523,1.0665,1.15344,0.58747,0.95398,0.000878,0.000878,0.000878
19,284.295,1.04304,1.28377,0.65872,0.95775,0.99476,1.0,0.995,0.68745,0.99476,1.0,0.995,0.41365,1.03751,1.13922,0.56651,0.94662,0.000812,0.000812,0.000812
20,298.788,1.01736,1.30326,0.64722,0.95554,0.99785,1.0,0.995,0.70441,0.95712,0.95918,0.92789,0.44059,0.95205,1.10755,0.56953,0.91801,0.000746,0.000746,0.000746
21,336.283,0.95222,1.15945,0.62564,0.96013,0.97998,0.99913,0.9898,0.71818,0.95628,0.95918,0.9573,0.46668,0.94501,1.13347,0.55431,0.92074,0.00068,0.00068,0.00068
22,350.87,0.94741,1.14135,0.58356,0.95796,0.99652,1.0,0.995,0.75359,0.99652,1.0,0.995,0.43038,0.94893,1.18797,0.54541,0.91944,0.000614,0.000614,0.000614
23,365.653,0.91698,1.12938,0.55915,0.94133,0.99629,1.0,0.995,0.73675,0.99629,1.0,0.995,0.45298,0.9448,1.1098,0.5487,0.92569,0.000548,0.000548,0.000548
24,380.187,0.87853,1.13372,0.53097,0.92372,0.9965,1.0,0.995,0.72765,0.9965,1.0,0.995,0.46478,0.93817,1.05268,0.53431,0.9184,0.000482,0.000482,0.000482
25,394.683,0.87014,1.10228,0.5202,0.89567,0.9972,1.0,0.995,0.72701,0.9972,1.0,0.995,0.46039,0.91135,1.05005,0.49039,0.91098,0.000416,0.000416,0.000416
26,408.947,0.83322,1.08626,0.50234,0.90115,0.99794,1.0,0.995,0.77813,0.97758,0.97959,0.96991,0.42848,0.81772,1.02477,0.4765,0.88516,0.00035,0.00035,0.00035
27,423.821,0.82888,1.05502,0.49851,0.89793,0.99785,1.0,0.995,0.78981,0.97748,0.97959,0.97497,0.43074,0.82006,1.01529,0.45404,0.88805,0.000284,0.000284,0.000284
28,438.525,0.80833,1.04978,0.47074,0.90728,0.99807,1.0,0.995,0.78593,0.9777,0.97959,0.97481,0.43726,0.80745,1.03043,0.43456,0.88894,0.000218,0.000218,0.000218
29,453.629,0.77225,1.08328,0.45685,0.89975,0.99823,1.0,0.995,0.78486,0.99823,1.0,0.995,0.44672,0.79894,1.03427,0.4387,0.88303,0.000152,0.000152,0.000152
30,468.403,0.79998,1.07644,0.46661,0.88922,0.99833,1.0,0.995,0.78411,0.99833,1.0,0.995,0.47232,0.79409,1.01695,0.43981,0.87952,8.6e-05,8.6e-05,8.6e-05
